validation_layer,ring,truth,base_prob_migrant,uncertainty_prob_migrant_mean,uncertainty_prob_migrant_q10,uncertainty_prob_migrant_q90,class_support,boundary_crosses,indeterminate,operational_call,switch_rate_from_base,top_prob_abs_shift
blocked_coordinate_cv,CP16529,migrant,0.8505719009391621,0.8477310254140817,0.79920478579108,0.8927478424066642,1,FALSE,FALSE,NA,0,0.00284087552508038
blocked_coordinate_cv,CP16533,migrant,0.8058047711400241,0.8054660622634786,0.7455410040486921,0.8606541106892986,1,FALSE,FALSE,NA,0,3.3870887654552373e-4
blocked_coordinate_cv,CP16609,migrant,0.4948305514041581,0.4989710582531709,0.4427263868266515,0.5555418507257448,0.524,TRUE,TRUE,indeterminate,0.476,0.03093638516621977
blocked_coordinate_cv,CP16652,resident,0.3825683452405641,0.39535440528273746,0.35513525045657585,0.4440105055075058,0.99,FALSE,FALSE,NA,0.01,0.01253483888725615
blocked_coordinate_cv,CP16945,migrant,0.9436739662129732,0.941756913464991,0.9218819588304202,0.9601164525674564,1,FALSE,FALSE,NA,0,0.00191705274798215
blocked_coordinate_cv,CP19314,migrant,0.6889951124595106,0.6875631034662626,0.6087984527709408,0.7625628767953823,1,FALSE,FALSE,NA,0,0.00143200899324802
blocked_coordinate_cv,CP19368,migrant,0.8632935476274655,0.8607934073486468,0.8136822296152625,0.9004241026119063,1,FALSE,FALSE,NA,0,0.00250014027881861
blocked_coordinate_cv,CP19371,resident,0.4966581264864536,0.4974701176243933,0.43824363179962167,0.557977615649201,0.522,TRUE,TRUE,indeterminate,0.478,0.03443450906941259
blocked_coordinate_cv,CP19923,resident,0.36934249641065503,0.3845953171249766,0.34692028892375754,0.4355897640452984,0.996,FALSE,FALSE,NA,0.004,0.01523687415485663
blocked_coordinate_cv,04258275,migrant,0.45024561681014713,0.45140473329212005,0.36290131479439813,0.5429922637903967,0.76,TRUE,TRUE,indeterminate,0.24,0.02136978375271103
blocked_coordinate_cv,CP16470,resident,0.5747931151686113,0.5734900054012605,0.4855205576980864,0.6716230600995439,0.832,TRUE,TRUE,indeterminate,0.16800000000000004,0.00930610230106931
blocked_coordinate_cv,CP16534,migrant,0.9240839007490704,0.9213363150714252,0.8927120723159128,0.9472054719165534,1,FALSE,FALSE,NA,0,0.00274758567764532
blocked_coordinate_cv,CP16627,resident,0.2795777036397362,0.3136503807691126,0.2695526828856558,0.3767832068608377,0.998,FALSE,FALSE,NA,0.002,0.03406399345279865
blocked_coordinate_cv,CP16628,resident,0.4448918721123558,0.4445515276699776,0.3492290153124341,0.5337922774220084,0.772,TRUE,TRUE,indeterminate,0.228,0.01790322384358012
blocked_coordinate_cv,CP16958,migrant,0.6447431624492463,0.6402926208978773,0.5486066737781569,0.7190685820499336,0.974,FALSE,FALSE,NA,0.02600000000000002,0.0033576587493096
blocked_coordinate_cv,CP19350,migrant,0.7153850701857165,0.7106345634266814,0.6252771260544709,0.7871215719085769,1,FALSE,FALSE,NA,0,0.0047505067590351
blocked_coordinate_cv,CP19360,migrant,0.3318445708557666,0.35175848160330636,0.29107856704708784,0.4221027310143597,0.994,FALSE,FALSE,NA,0.006,0.01947306645858149
blocked_coordinate_cv,CP19365,migrant,0.8466172621198763,0.8438162724443102,0.7911464635338477,0.8911263393345364,1,FALSE,FALSE,NA,0,0.00280098967556607
blocked_coordinate_cv,CP19915,migrant,0.6929440239933536,0.6874076952160263,0.5992327853073998,0.770072702121999,0.998,FALSE,FALSE,NA,0.002,0.00538589983736814
blocked_coordinate_cv,CP19983,resident,0.6486570209865908,0.6466150707952761,0.5594440051062229,0.7261736547121704,0.978,FALSE,FALSE,NA,0.02200000000000002,0.00110246417715387
blocked_coordinate_cv,CP16461,resident,0.6552178246327237,0.6487570913491384,0.5892672860636915,0.7092588108533412,1,FALSE,FALSE,NA,0,0.00646073328358531
blocked_coordinate_cv,CP16543,resident,0.4310358017845198,0.43621713271428153,0.3809192179722149,0.49196603551499335,0.92,FALSE,FALSE,NA,0.08,0.00154724101069125
blocked_coordinate_cv,CP16656,migrant,0.8636120479362489,0.861303774356,0.8250877721119163,0.8946142152853173,1,FALSE,FALSE,NA,0,0.00230827358024887
blocked_coordinate_cv,CP16667,migrant,0.6321391602525784,0.630607662179709,0.5667086349899049,0.6904394916920514,0.992,FALSE,FALSE,NA,0.008,0.00122393700107226
blocked_coordinate_cv,CP16693,migrant,0.3621774775815804,0.379694810617382,0.3458432179095178,0.4228696817868002,1,FALSE,FALSE,NA,0,0.01751733303580149
blocked_coordinate_cv,CP16784,resident,0.5293933754121773,0.5294474398896089,0.46082383250290343,0.5976378484586741,0.718,TRUE,TRUE,indeterminate,0.28200000000000003,0.01792295818828826
blocked_coordinate_cv,CP16815,migrant,0.8877200991744554,0.8858335585191984,0.8554597156937401,0.9149990162990173,1,FALSE,FALSE,NA,0,0.00188654065525695
